"block";"ID";"deg";"correct";"zaehler_packetID";"durchgang";"MeanAmplitude";"MaxRangeX";"MaxRangeY";"SwayVelocity";"reactionTime";"outlier"
"mental";"id55";45;1;17;5;1.20834645114387;4.3922;3.79242;236.703279464891;1444;FALSE
"visualStop";"id44";135;1;23;8;1.48749966136846;3.631;6.29505;525.03183484235;1903;FALSE
"visual";"id100";135;1;13;3;2.03802995118396;10.7204;8.0587;813.05884780207;2672;FALSE
"mental";"id59";45;1;23;8;3.04798009576368;11.88367;8.52343;542.876120614372;4349;FALSE
"visual";"id10";90;1;15;4;1.02977593550639;2.5345;4.39524;276.297954652792;1217;FALSE
"visualStop";"id28";135;1;11;2;0.395034481156589;1.8918;1.47418;235.761800268448;1557;FALSE
"mental";"id18";90;1;27;10;2.10651853507608;4.80139999999999;7.75862;432.657966870041;1961;FALSE
"visualStop";"id134";90;1;21;7;0.913095571263503;1.921;3.71141;249.417810303796;1216;FALSE
"visual";"id107";45;1;31;12;1.33680870365096;2.5156;7.05529;526.152479188776;1022;FALSE
"mental";"id120";180;1;25;9;2.25537617791231;5.81139;7.90885;446.938505726831;2038;FALSE
"visual";"id59";180;1;15;4;1.22396740520008;3.16066;7.579612;536.422790365535;2826;FALSE
"mental";"id8";135;1;27;10;4.35928769968311;9.0504;15.4023916;547.75630314239;2688;FALSE
"visual";"id110";180;1;19;6;2.88717280172593;9.0593;8.80581;228.855622825146;1868;FALSE
"visual";"id67";90;1;25;9;2.83663030284947;7.3473;7.5046;409.200160333128;1393;FALSE
"visualStop";"id103";45;1;17;5;1.2935710311791;3.851;7.6860751;539.339892241849;1031;FALSE
"visual";"id107";180;1;31;12;1.02784878549038;4.0423;3.94201;517.574734423257;1693;FALSE
"visualStop";"id3";90;1;9;1;3.14849718300852;7.8942;11.08659;714.629675734131;1982;FALSE
"visual";"id44";45;1;27;10;1.02783449848485;4.3245;3.82825;517.127661703102;943;FALSE
"mental";"id8";180;1;27;10;1.34632933783797;3.2498;7.88237;545.783215700445;2875;FALSE
"visualStop";"id126";180;1;25;9;3.16225550614704;9.0336;12.957943;486.410258460564;2947;FALSE
"mental";"id144";45;1;13;3;2.98251663510996;7.644;15.0309;472.743355022509;1843;FALSE
"visual";"id115";180;1;13;3;2.29371443329273;8.0574;10.74523;888.636602619587;2458;FALSE
"visualStop";"id96";45;1;23;8;1.10895947013907;3.6877;5.87209;677.630306392984;1263;FALSE
"visual";"id104";90;1;27;10;0.651501869488825;2.1105;3.04029;242.683724834739;1062;FALSE
"visualStop";"id18";45;1;17;5;2.52766702474585;4.0259;9.53475;438.081941468507;1298;FALSE
"mental";"id44";135;1;15;4;2.97098878882875;9.2171;7.995881;538.973117970469;2063;FALSE
"visual";"id111";135;1;17;5;1.14636002280543;4.7346;5.66647;749.02838070769;2367;FALSE
"visual";"id121";90;1;27;10;1.35405737199145;4.86859999999999;5.5907;276.351337571174;1830;FALSE
"visual";"id49";45;1;15;4;1.46754221001329;6.19637;5.621;579.295884021782;1343;FALSE
"visualStop";"id103";45;1;21;7;2.51832920090077;2.9916;11.01645;504.522594110827;1024;FALSE
"visual";"id19";135;1;31;12;1.6812589342599;3.36170000000001;7.51595;289.097510379088;1239;FALSE
"mental";"id132";180;1;13;3;2.29886180322895;8.26811;5.64371;480.900444927398;2482;FALSE
"visual";"id14";45;1;21;7;1.37461929620919;2.97328;4.45356;395.319519089265;1187;FALSE
"mental";"id15";90;1;23;8;4.5140322026084;7.198546742;15.42833;568.998052552297;2750;FALSE
"mental";"id88";180;1;21;7;0.719854832202664;3.4388;2.620909;290.5753308536;2503;FALSE
"mental";"id21";45;1;25;9;5.47466052512682;11.4249;15.4888;174.782382019473;2267;FALSE
"visualStop";"id88";90;1;9;1;2.56931714532037;6.3478;8.212;301.361351068281;1747;FALSE
"mental";"id143";90;1;17;5;1.46311340633401;5.8364;3.976;428.184312523507;2631;FALSE
"mental";"id19";45;1;9;1;1.59979165973529;4.5458;5.74344;285.297493632391;2017;FALSE
"visual";"id30";180;1;31;12;9.80926921014129;41.313;20.74917;174.426207531832;4622;FALSE
"visualStop";"id100";90;1;25;9;1.5486967114433;4.401;7.72238;813.139160707689;1724;FALSE
"visual";"id69";135;1;17;5;1.61958939815245;4.7487;6.15237;325.955159060386;2692;FALSE
"visualStop";"id61";135;1;11;2;3.50297217190678;9.9414;9.02255;234.972329626331;2356;FALSE
"visual";"id1";90;1;31;12;1.66998235280538;5.4439;5.37519;488.729029473221;1178;FALSE
"visualStop";"id105";45;1;29;11;1.49107126244026;4.7431;4.376792;230.74076337492;2516;FALSE
"mental";"id56";45;1;23;8;1.66456655625218;5.3836;6.5229;488.637480601536;1932;FALSE
"mental";"id106";45;1;25;9;1.24733402382279;4.85;5.7944;743.933200722805;1481;FALSE
"visualStop";"id28";180;1;25;9;1.04263535430377;3.276;2.36288;195.648751973521;2041;FALSE
"visual";"id66";90;1;11;2;3.18061959377013;6.6196;10.8118;284.607158765431;2844;FALSE
"mental";"id87";135;1;25;9;1.15449426698882;5.0187;4.43203;697.585257594408;1922;FALSE
"visualStop";"id51";90;1;23;8;1.9782604471853;6.181;6.8169526;540.563144647423;1507;FALSE
"visual";"id149";90;1;23;8;1.21817342296862;4.7346;4.82914;668.339280715789;870;FALSE
"visual";"id41";45;1;17;5;1.71304315589239;3.8639;5.1831;159.491257508556;1745;FALSE
"mental";"id142";90;1;19;6;0.577939815991;2.7857;2.00073;321.551054732107;1165;FALSE
"visualStop";"id128";135;1;17;5;1.57954118343465;4.8382;5.9921;522.677775151811;1811;FALSE
"visualStop";"id101";90;1;21;7;2.61880129743001;6.8557;8.04513;549.739995523518;1542;FALSE
"visualStop";"id20";135;1;29;11;1.25977912347548;3.4512;4.38312;282.443039247047;1728;FALSE
"mental";"id142";45;1;19;6;1.1267794898976;2.2311;4.58809;336.266384569491;1147;FALSE
"mental";"id138";45;1;27;10;1.84315766175278;3.84761;7.885615;742.280107443913;1405;FALSE
"visual";"id31";90;1;19;6;1.81098906635949;7.0217;4.83434;731.383750783387;1316;FALSE
"visual";"id40";135;1;27;10;2.29662391539182;10.60505;8.5967108;597.988007005438;1636;FALSE
"visual";"id55";90;1;23;8;1.65516926418974;4.7881;4.62086;245.540836758897;1672;FALSE
"visual";"id35";90;1;27;10;2.83722479268672;9.7249;8.792388;678.366595689827;3172;FALSE
"visual";"id98";180;1;29;11;3.10547815490351;6.9609;12.25786;540.17076546209;2234;FALSE
"mental";"id97";45;1;29;11;1.1729435685516;3.9188;5.01321;781.013639046114;1262;FALSE
"visualStop";"id134";180;1;13;3;2.65453812610985;8.35404;7.946125;236.958316115433;1725;FALSE
"visual";"id150";45;1;21;7;4.24351152769024;14.9154;11.7931;321.310106138885;1887;FALSE
"visual";"id95";135;1;27;10;2.43058639646702;4.9892;8.77146;259.520111588908;1221;FALSE
"visualStop";"id128";135;1;11;2;2.87776269443374;5.4191;10.73861;511.352479894546;3375;FALSE
"mental";"id35";90;1;25;9;1.48916417740533;4.2983;8.11805;675.098061620219;2121;FALSE
"mental";"id31";45;1;23;8;1.99243009847718;4.9503;11.0964;738.984052542409;1644;FALSE
"mental";"id61";45;1;13;3;2.60425444306585;7.57954;6.87385;198.092494641728;2131;FALSE
"visualStop";"id116";90;1;29;11;1.83499725518289;7.0173;8.14349;766.700983013513;1724;FALSE
"visualStop";"id79";45;1;27;10;0.986785252889065;4.1464;2.9816;257.14775133632;1003;FALSE
"visual";"id65";180;1;17;5;3.44440046427216;10.9367;4.76023;223.77047022066;3324;FALSE
"visual";"id134";45;1;23;8;0.886093433504332;2.894;2.88533;248.421455083724;1201;FALSE
"visual";"id45";180;1;19;6;4.27004986909637;12.6427;13.4496;594.711482792542;3496;FALSE
"visual";"id94";45;1;9;1;0.971297476857711;4.07389;3.252187;196.516329313964;1351;FALSE
"mental";"id72";180;1;25;9;2.22229452027409;8.211;7.90205;666.335609105381;3598;FALSE
"visualStop";"id95";45;1;9;1;2.31887533661778;10.8224;4.5681;245.01958471965;2023;FALSE
"visual";"id88";45;1;17;5;1.13301163539242;3.4522;3.76578;278.434971525192;1599;FALSE
"visual";"id101";90;1;11;2;2.25142563764187;8.1842;8.889251;570.566545052651;1744;FALSE
"mental";"id60";45;1;23;8;1.33220622639325;4.7345;6.59825;196.936030776396;5088;TRUE
"mental";"id67";45;1;27;10;1.39190179837977;5.6701;3.95574;417.574142782931;1760;FALSE
"visualStop";"id21";45;1;9;1;5.51864272457296;9.1058;14.3792;195.049850756332;1875;FALSE
"visual";"id10";135;1;31;12;0.900664088606092;3.0891;3.8385;306.892624266026;1616;FALSE
"visualStop";"id62";90;1;15;4;1.94846095049792;6.6495;5.91502;515.25414980757;1306;FALSE
"mental";"id123";45;1;21;7;0.842379554210404;3.9101;4.008;664.28571388361;1314;FALSE
"visualStop";"id146";45;1;19;6;1.64680327774278;5.11481;5.07249;255.8160117462;1669;FALSE
"visual";"id67";135;1;25;9;3.88927456824083;11.6025;10.35812;410.539945206176;2004;FALSE
"visualStop";"id26";90;1;13;3;2.77350739523669;8.644681;14.68982;734.447277705985;2475;FALSE
"mental";"id90";135;1;23;8;4.6217135397396;10.55;13.1222;545.912406623969;1864;FALSE
"visual";"id22";45;1;9;1;3.37768799739924;10.8684;10.94496;692.537541186511;1728;FALSE
"visual";"id43";135;1;11;2;1.22439018114657;3.01494;8.14068;513.009113521746;3041;FALSE
"visual";"id106";45;1;13;3;2.31767486468445;6.4031;9.27464;759.883518978907;1315;FALSE
"visualStop";"id9";135;1;13;3;1.70512635765595;5.2047;4.618959;230.549016970625;1549;FALSE
"visualStop";"id38";135;1;17;5;1.65158662486492;2.9894;6.53134;283.236926791944;2374;FALSE
"visualStop";"id137";180;1;19;6;4.87503875720335;11.7182;11.48259;501.204209225136;2494;FALSE
"visual";"id86";90;1;27;10;2.01613363252153;6.5851;3.43906;157.973705883367;1246;FALSE
"mental";"id1";135;1;19;6;3.31330601049998;13.0323;4.95591;477.789546351203;2869;FALSE
"visual";"id115";180;1;29;11;4.18241035575269;7.3309;17.11799;866.642286627379;3294;FALSE
"mental";"id33";90;1;31;12;2.95662266905938;7.96993;8.467302;570.835986504623;1475;FALSE
"mental";"id58";135;1;19;6;1.74937921953649;6.4124;8.312428;594.946898996989;4871;FALSE
"visual";"id130";45;1;11;2;1.6398374256527;5.4145;6.8462;745.428098690458;1809;FALSE
"visual";"id15";135;1;27;10;2.21186660530485;5.34569;8.41658;567.293976972195;2209;FALSE
"visual";"id32";45;1;25;9;0.804832320020513;4.08880000000001;4.138852;662.542919743015;1240;FALSE
"mental";"id30";135;1;9;1;7.22370622924904;33.3854;10.117753;176.685429395637;4389;FALSE
"visualStop";"id33";45;1;19;6;3.11197334285394;11.3733;4.853429;551.299785966537;1293;FALSE
"visual";"id56";90;1;17;5;2.97532318252501;10.01722;9.3246;512.088832074242;2570;FALSE
"visual";"id19";45;1;31;12;1.12447240795924;3.5872;4.88277;290.199757467311;1245;FALSE
"visualStop";"id30";180;1;13;3;5.62798955524783;15.0683;19.95387;189.082936443549;4124;FALSE
"mental";"id120";45;1;21;7;2.4430587074415;5.63594;9.81931;443.502793936036;2198;FALSE
"visual";"id147";90;1;13;3;1.56539548348571;6.2384;2.97986;306.810840696262;2612;FALSE
"visual";"id58";180;1;21;7;2.05400050232667;7.8459;5.388822;581.659173133559;1888;FALSE
"visualStop";"id79";90;1;19;6;0.684337036578604;2.2876;1.88949;235.568298811352;1224;FALSE
"visualStop";"id1";45;1;17;5;1.20658087185157;3.263;5.41066;480.20528555398;1319;FALSE
"mental";"id103";135;1;31;12;2.23226751010526;3.8102;9.00221;522.486115015787;2035;FALSE
"visual";"id80";180;1;25;9;1.02588433442993;2.6303;4.365097;213.072863475584;2047;FALSE
"mental";"id71";90;1;27;10;1.04283756543716;4.1254;2.9261;264.063040886436;1601;FALSE
"visualStop";"id84";45;1;17;5;1.45856708456215;5.4927;5.88575;781.286337049331;2008;FALSE
"visualStop";"id59";180;1;13;3;1.56549288209982;5.82851;6.81137;514.42802206546;3378;FALSE
"visualStop";"id113";135;1;25;9;3.00781616243431;8.9307;7.64501;209.428783164682;2143;FALSE
"visualStop";"id10";90;1;27;10;1.49965061795644;1.8029;5.25435;288.388232069649;1095;FALSE
"mental";"id5";90;1;27;10;2.13110693540319;6.9932;11.02671;872.600521182346;2896;FALSE
"mental";"id84";45;1;27;10;2.1662887955531;5.9506;8.24743;743.184678486922;2219;FALSE
"visual";"id109";45;1;15;4;3.28379204820536;5.6858;11.29923;299.404468798753;1581;FALSE
"visualStop";"id2";45;1;11;2;1.60633001496957;5.4029;7.08465;641.862304432841;1180;FALSE
"visualStop";"id146";45;1;19;6;3.12857114904365;7.43307;6.88847;250.157391465897;2029;FALSE
"visual";"id5";180;1;29;11;4.17482033070249;11.0665;11.358144;847.957908046001;1886;FALSE
"mental";"id25";45;1;13;3;1.25317237211579;4.23551;3.79646;343.498441599164;1359;FALSE
"visualStop";"id112";180;1;27;10;2.91522098733848;9.1798;6.66934;564.256053767159;2143;FALSE
"visualStop";"id68";90;1;23;8;2.65417620030257;6.9236;8.82511;383.066155822407;1680;FALSE
"visualStop";"id9";135;1;27;10;0.999204140818792;2.3229;3.2518013;217.207034915861;939;FALSE
"visualStop";"id57";90;1;17;5;1.92049157232615;6.71106;6.212543;476.851390148823;2057;FALSE
"visual";"id71";180;1;11;2;2.73278652409644;3.38910000000001;9.22861;220.788292863897;2338;FALSE
"visualStop";"id120";135;1;15;4;1.06258287405642;3.9533;5.2247;434.890173590317;1380;FALSE
"mental";"id137";45;1;13;3;0;0;0;0;3063;FALSE
"mental";"id43";135;1;19;6;1.85604415007616;4.50236;8.6070636;514.213394514084;2611;FALSE
"visual";"id17";135;1;25;9;1.5803469752403;4.6115;7.73075;467.489303913762;1767;FALSE
