"block";"ID";"value";"type"
"mental";"id91";"6";"cRPE"
"visual";"id28";"1";"RPE"
"visualStop";"id80";"5";"cRPE"
"visual";"id71";"6";"cRPE"
"mental";"id59";"3";"RPE"
"visualStop";"id137";"3";"RPE"
"visualStop";"id39";"1";"RPE"
"visual";"id143";"1";"RPE"
"visualStop";"id57";"1";"RPE"
"visual";"id47";"3";"cRPE"
"visual";"id128";"4";"cRPE"
"mental";"id33";"6";"cRPE"
"visual";"id22";"1";"cRPE"
"mental";"id84";"6";"cRPE"
"visual";"id64";"4";"cRPE"
"visual";"id130";"3";"cRPE"
"visual";"id12";"6";"cRPE"
"mental";"id6";"5";"cRPE"
"mental";"id15";"5";"cRPE"
"visual";"id56";"5";"cRPE"
"visualStop";"id32";"1";"RPE"
"visual";"id25";"2";"cRPE"
"visual";"id24";"4";"cRPE"
"visualStop";"id3";"1";"RPE"
"mental";"id64";"1";"RPE"
"visual";"id3";"2";"cRPE"
"visual";"id49";"4";"cRPE"
"visual";"id59";"2";"RPE"
"visualStop";"id90";"2";"RPE"
"mental";"id29";"1";"RPE"
"mental";"id47";"3";"cRPE"
"visualStop";"id127";"3";"cRPE"
"visual";"id135";"1";"RPE"
"visual";"id96";"5";"cRPE"
"visual";"id88";"2";"cRPE"
"visualStop";"id134";"5";"cRPE"
"visual";"id61";"2";"RPE"
"visualStop";"id106";"1";"RPE"
"mental";"id109";"7";"cRPE"
"mental";"id26";"4";"RPE"
"visual";"id114";"4";"RPE"
"visual";"id101";"2";"RPE"
"mental";"id20";"6";"cRPE"
"visualStop";"id16";"1";"RPE"
"visual";"id133";"3";"cRPE"
"visual";"id96";"4";"RPE"
"visual";"id83";"4";"cRPE"
"visualStop";"id42";"4";"cRPE"
"visual";"id19";"5";"cRPE"
"visual";"id4";"7";"RPE"
"visual";"id52";"5";"cRPE"
"mental";"id6";"1";"RPE"
"mental";"id125";"4";"cRPE"
"mental";"id48";"1";"RPE"
"mental";"id52";"5";"cRPE"
"visual";"id35";"3";"cRPE"
"visualStop";"id142";"2";"cRPE"
"mental";"id149";"2";"RPE"
"visualStop";"id84";"1";"RPE"
"mental";"id13";"1";"RPE"
"mental";"id78";"3";"cRPE"
"visualStop";"id104";"2";"RPE"
"visual";"id102";"1";"RPE"
"visual";"id50";"1";"RPE"
"visualStop";"id25";"1";"cRPE"
"mental";"id124";"3";"cRPE"
"visualStop";"id104";"2";"RPE"
"visual";"id56";"1";"RPE"
"mental";"id120";"4";"cRPE"
"visualStop";"id54";"4";"cRPE"
"mental";"id121";"1";"RPE"
"mental";"id8";"4";"RPE"
"mental";"id18";"5";"cRPE"
"mental";"id102";"3";"cRPE"
"visual";"id96";"4";"RPE"
"visual";"id82";"4";"cRPE"
"visual";"id62";"2";"RPE"
"visualStop";"id64";"5";"cRPE"
"mental";"id99";"4";"cRPE"
"visualStop";"id70";"1";"RPE"
"mental";"id100";"4";"RPE"
"visualStop";"id147";"5";"cRPE"
"mental";"id118";"5";"cRPE"
"mental";"id33";"5";"cRPE"
"mental";"id118";"1";"RPE"
"mental";"id111";"1";"RPE"
"visual";"id19";"1";"RPE"
"visual";"id34";"2";"cRPE"
"visual";"id30";"1";"RPE"
"visualStop";"id98";"2";"cRPE"
"visual";"id97";"1";"RPE"
"visual";"id69";"1";"RPE"
"mental";"id145";"5";"cRPE"
"visualStop";"id6";"3";"cRPE"
"visualStop";"id99";"3";"cRPE"
"visualStop";"id87";"1";"RPE"
"mental";"id124";"4";"cRPE"
"visualStop";"id51";"1";"cRPE"
"visual";"id147";"5";"RPE"
"visual";"id39";"4";"cRPE"
"visualStop";"id7";"4";"cRPE"
"mental";"id104";"4";"cRPE"
"visualStop";"id5";"3";"cRPE"
"visual";"id24";"4";"cRPE"
"visual";"id111";"2";"cRPE"
"visualStop";"id49";"2";"RPE"
"visualStop";"id84";"1";"RPE"
"visual";"id2";"1";"RPE"
"mental";"id101";"2";"RPE"
"mental";"id20";"2";"RPE"
"visualStop";"id126";"1";"RPE"
"mental";"id145";"1";"RPE"
